title,company,location,posted_date,description
Web Developer for Media Agency (US-based/Remote),Paired,"Venezuela, Tolima, Colombia",2024-10-23,"Paired is a leading agency in the US specializing in remote work solutions for businesses. We connect talented professionals with companies in need of their skills, regardless of geographical location. At Paired, we believe in the power of remote work to create opportunities and foster collaboration across borders.We are currently seeking a Web Developer to join our client's team. Our client is a Media Agency based in the US. As a Web Developer, you will be responsible for leveraging open UI frameworks to efficiently build standard components for our client's web applications.Coding Skills: This position requires strong coding skills. We are looking for a Web Developer who is proficient in UX and UI Design, capable of leveraging open UI frameworks to efficiently build standard components for our web applications.Type of Application: The candidate will primarily work on our client's SaaS applications, which include: Dashboards Creator management software Reporting tools Campaign tracking systems Payments and invoicing modules Other related functionalitiesTech Stack Expertise: Front-End: Vue.js and Vuex framework, HTML5, CSS3, JavaScript, and experience with UI frameworks such as Material-UI or Bootstrap Back-End: Extensive experience with Node.js, as the entire stack is built on itCloud Platforms: Google Cloud Platform (GCP): Firestore (database), GC Storage (file storage), GC Functions (low-compute tasks), GC App Engine (high-compute tasks), GC Hosting, and CDN servicesAmazon Web Services (AWS): S3 (file storage), EC2 (high-compute tasks).Databases: Proficiency with GC Firestore.Other Tools: Proficiency with version control systems (Git), RESTful APIs, and responsive design principles.Additional Insights: Location: We are looking for candidates from LATAM to maintain close time zone alignment with our team Experience: Ideally, the candidate should have 3+ years of experience in web development with a strong portfolio showcasing their UX/UI design work Collaboration: The role requires close collaboration with the product and design teams to create user-centric solutionsRequirementsWe need 5 hours of overlap per day, Monday to Friday, with 8 am to 5pm Pacific Time BenefitsWork from AnywhereCompetitive Salary (USD): 800 - 1350 USD per monthFlexible Hours with 5 hours of overlap with Pacific Time



        
            Show more
          

          



        
            Show less"
Senior Data Engineer (Python) - (Remote),Jobgether,"Venezuela, Tolima, Colombia",2025-01-10,"Jobgether is a pioneering HR Tech startup, operating entirely remotely, and leading the revolution in the world of work. As the largest job search engine designed exclusively for remote workers, we believe that flexibility is the cornerstone of the future of work. Our mission is to empower individuals to discover opportunities that align seamlessly with their unique lifestyles.On the Jobgether platform, companies can showcase their commitment to flexibility and remote work policies, attracting top-tier talent from across the globe. Our diverse team of 30 individuals is located in Spain, Belgium, Israel, France, Colombia, Madagascar, Italy, Ukraine, Portugal, the USA, and India, embodying the true spirit of remote work.We operate on the fundamental principle that work should be conducted on your terms—how you want, when you want, and from wherever you want. We place a premium on accountability, valuing outcomes above all else. At Jobgether, it's not about where you work; it's about what you achieve.RequirementsJoin our dynamic Content and Data team as a Senior Data Engineer, where you'll play a pivotal role in developing and scaling our matching algorithm using AI together with our Data Engineering Team. Jobgether's platform, which aggregates over 10,000 new job listings daily and identifies emerging remote companies.Key Responsibilities Data Infrastructure Development: Design, build, and maintain scalable data pipelines and ETL processes to collect, process, and store large volumes of structured and unstructured data Data Scraping and Extraction: Develop and optimize data scraping and extraction solutions to gather job data from multiple sources efficiently, ensuring data quality and scalability Algorithm Enhancement: Collaborate with data scientists to implement and optimize AI-driven matching algorithms that align remote workers with suitable job opportunities Data Quality Assurance: Ensure data integrity, accuracy, and reliability by implementing robust validation and monitoring mechanisms Performance Optimization: Analyze and optimize system performance, addressing bottlenecks and scaling challenges within our data infrastructure Integration and Deployment: Work with cross-functional teams to deploy machine learning models into production environments efficiently and reliably Technology Evaluation: Stay abreast of emerging technologies and best practices in data engineering and AI, recommending and implementing new tools and methodologies as appropriate Collaboration: Partner with Product, Engineering, and Operations teams to understand data requirements and translate them into technical solutions Documentation and Standards: Develop and maintain comprehensive documentation for data pipelines, systems architecture, and processes, ensuring compliance with industry standards. RequirementsWhat You Bring to the Role?Mandatory Qualifications Educational Background: Bachelor's or Master's degree in Computer Science, Engineering, or a related technical field Experience: Minimum of 4 years of experience in data engineering, with a strong focus on building and managing data pipelines and infrastructure Programming Proficiency: 4 years of experience in Python Big Data Technologies: Hands-on experience with big data frameworks and tools like Hadoop, Spark, or Kafka Database Knowledge: Proficiency with relational databases (e.g., MySQL, PostgreSQL) and NoSQL databases - Experience with MongoDB Cloud Platforms: Experience with AWS Data Modeling: Strong understanding of data modeling, schema design, and data warehousing concepts Problem-Solving Skills: Excellent analytical and troubleshooting abilities Language Skills: Fluency in English and SpanishPreferred Qualifications Machine Learning Deployment: Experience deploying machine learning models into production environments DevOps Practices: Familiarity with CI/CD pipelines, containerization (Docker), and orchestration tools (Kubernetes) Data Security: Knowledge of data privacy regulations and security best practices Communication Skills: Excellent verbal and written communication skills, with the ability to explain complex technical concepts to non-technical stakeholdersBenefitsRemote Work Culture: Enjoy the flexibility of working from anywhere in the worldInnovative Environment: Be part of a forward-thinking team that shapes the future of remote workProfessional Growth: Opportunity to work on cutting-edge technologies and challenging projects that drive real impactDiverse Team: Collaborate with a global team of passionate professionals



        
            Show more
          

          



        
            Show less"
Python/React Developer - Remote - Colombia,FullStack Labs,"Ibagué, Tolima, Colombia",2025-01-04,"About FullStackFullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.We’re Most Proud OfOffering life-changing career opportunities to talented software professionals across the Americas.Building highly-skilled software development teams for hundreds of the world’s greatest companies.Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.Our 4.5-star rating on GlassDoor.Our client Net Promoter Score of 68, twice the industry average.The PositionWe're Looking To Hire a Mid-level React/Python Developer To Join Our Team. You'll Work With Our Incredible Clients In One Of Two WaysTeam Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis.Design & Build: You will work on a FullStack product team to build and deliver a product to our clients.What We're Looking For4+ years of professional software development experience.Advanced English is required.Successful completion of a four-year college degree is required.Experience working with React.Experience working with Python.Experience with containerization technologies (e.g., Docker, Kubernetes).Familiarity with Linux workspaces.Ability to work through new and difficult issues and contribute to libraries as needed.Ability to create and maintain continuous integration and delivery of applications.Forensic attention to detail.A positive mindset and a can-do attitude.Experience working on Agile / Scrum teams.Meaningful experience working on large, complex systems.Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.Ability to consistently work 40 hours per week.What We OfferCompetitive Salary.Paid Time Off (vacation, sick leave, maternity and paternity leave, holidays).100% remote work.The ability to work with leading startups and Fortune 500 companies.Health policy with Sura 100% for you and up to 4 primary family members.English Classes.Food card.Ample opportunity for career advancement.Continuing education opportunities.FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process.Learn more about our Applicants Privacy Notice.
        


        
            Show more
          

          



        
            Show less"
**** ***** ***/********** ********* - ****** - ********,********* ****,"*****é, ******, ********",2025-01-04,"About FullStackFullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.We’re Most Proud OfOffering life-changing career opportunities to talented software professionals across the Americas.Building highly-skilled software development teams for hundreds of the world’s greatest companies.Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.Our 4.5-star rating on GlassDoor.Our client Net Promoter Score of 68, twice the industry average.The PositionWe're Looking To Hire a PHP/Javascript Developer To Join Our Team. You'll Work With Our Incredible Clients In One Of Two WaysTeam Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis.Design & Build: You will work on a FullStack product team to build and deliver a product to our clients.What We're Looking For4+ years of professional experience as a software developer.Advanced English is required.Successful completion of a four-year college degree is required.Proven experience working with PHP.Proven experience working with Node.Proven experience working with Frontend JavaScript Development.Proficiency with Java and Python.Ability to work through new and difficult issues and contribute to libraries as needed.Ability to create and maintain continuous integration and delivery of applications.Forensic attention to detail.A positive mindset and a can-do attitude.Experience working on Agile / Scrum teams.Meaningful experience working on large, complex systems.Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.Ability to consistently work 40 hours per week.What We OfferCompetitive Salary.Paid Time Off (vacation, sick leave, maternity and paternity leave, holidays).100% remote work.The ability to work with leading startups and Fortune 500 companies.Health policy with Sura 100% for you and up to 4 primary family members.English Classes.Food card.Ample opportunity for career advancement.Continuing education opportunities.FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process.Learn more about our Applicants Privacy Notice.
        


        
            Show more
          

          



        
            Show less"
**/** ******** - *** ********* *** ***** ****** (**-*****/******),******,"*********, ******, ********",2024-12-10,
**** ***** ******/********** ********* - ****** - ********,********* ****,"*****é, ******, ********",2025-01-09,
****** *** ********* - ****** - ********,********* ****,"*****é, ******, ********",2024-12-27,
